Floor,Price,Renovation,Year,Size,Elevator,Room,Hall,Id
14,160.0,3,2015,35.0,1.0,2,1.0,101102026120
14,160.0,3,2015,35.0,1.0,2,1.0,101102026120
14,160.0,3,2015,35.0,1.0,2,1.0,101102026120
14,160.0,3,2015,35.0,1.0,2,1.0,101102026120
14,160.0,3,2015,35.0,1.0,2,1.0,101102026120
14,160.0,3,2015,35.0,1.0,2,1.0,101102026120
14,160.0,3,2015,35.0,1.0,2,1.0,101102026120
14,160.0,3,2015,35.0,1.0,2,1.0,101102026120
8,110.0,3,2016,42.0,1.0,1,1.0,101101882934
8,140.0,0,2016,46.0,1.0,1,1.0,101102527989
15,658.0,0,2003,234.0,1.0,5,2.0,101102530003
4,695.0,0,2015,139.0,1.0,3,2.0,101102364233
4,695.0,0,2015,139.0,1.0,3,2.0,101102364233
4,695.0,0,2015,139.0,1.0,3,2.0,101102364233
4,695.0,0,2015,139.0,1.0,3,2.0,101102364233
4,695.0,0,2015,139.0,1.0,3,2.0,101102364233
4,695.0,0,2015,139.0,1.0,3,2.0,101102364233
4,695.0,0,2015,139.0,1.0,3,2.0,101102364233
4,695.0,0,2015,139.0,1.0,3,2.0,101102364233
8,108.0,3,2016,42.0,1.0,2,1.0,101102566983
19,252.0,1,2015,95.0,1.0,2,2.0,101102504094
9,255.0,3,2013,85.0,1.0,2,1.0,101102536379
16,255.0,3,2014,89.0,1.0,2,1.0,101102555199
5,135.0,3,2016,47.0,1.0,2,1.0,101102497149
13,99.0,1,2015,35.0,1.0,2,1.0,101102337352
18,119.0,3,2014,50.0,1.0,1,1.0,101101873370
5,200.0,2,2005,39.0,0.0,2,1.0,101102617300
6,310.0,2,2000,88.0,0.0,3,1.0,101102631069
14,150.0,2,2015,38.0,1.0,2,1.0,101102020743
18,210.0,0,2014,87.0,1.0,2,2.0,101102498824
18,199.0,0,2014,67.0,1.0,1,1.0,101102522579
12,420.0,3,2015,124.0,1.0,3,2.0,101102206025
17,285.0,3,2015,102.0,1.0,2,2.0,101102604095
12,320.0,3,2015,76.0,1.0,2,1.0,101102573976
18,360.0,0,2014,134.0,1.0,3,2.0,101102535450
18,230.0,0,2014,88.0,1.0,2,2.0,101102523872
11,260.0,0,2015,89.0,1.0,2,2.0,101102524948
18,190.0,0,2014,74.0,1.0,1,1.0,101102565578
18,270.0,0,2014,116.0,1.0,3,1.0,101102597792
16,260.0,3,2014,91.0,1.0,2,2.0,101102599347
13,480.0,3,2014,194.0,1.0,4,2.0,101102442157
2,1800.0,3,2009,457.0,1.0,5,2.0,101102087851
4,430.0,3,2010,89.0,0.0,2,1.0,101102283820
2,850.0,3,2008,163.0,0.0,6,4.0,101102562857
1,330.0,2,1998,87.0,0.0,3,1.0,101102521460
2,2100.0,3,2008,585.0,1.0,5,3.0,101102038170
2,1030.0,1,2011,343.0,1.0,5,2.0,101100814429
2,1150.0,0,2008,307.0,0.0,5,2.0,101102403032
2,800.0,2,2008,163.0,0.0,4,2.0,101102291157
4,530.0,0,2010,133.0,1.0,3,2.0,101102302782
4,430.0,0,2012,88.0,0.0,3,2.0,101102411267
6,310.0,3,2003,104.0,0.0,3,1.0,101102227629
6,235.0,0,1997,80.0,0.0,3,1.0,101102573858
8,413.0,3,2012,103.0,1.0,2,2.0,101102096288
2,1150.0,3,2008,345.0,1.0,5,3.0,101102345488
6,220.0,2,2003,57.0,0.0,1,1.0,101102052640
16,250.0,2,2016,123.0,1.0,4,1.0,101102732528
2,1000.0,1,2011,391.0,1.0,3,2.0,101101025128
2,1400.0,3,2012,468.0,1.0,5,3.0,101101930845
6,210.0,0,2007,102.0,0.0,3,1.0,101102301081
6,308.0,0,2006,141.0,0.0,3,2.0,101102339145
6,223.0,3,2011,74.0,0.0,2,1.0,101101571064
6,320.0,0,2011,123.0,0.0,3,2.0,101102701936
16,265.0,0,2014,123.0,1.0,3,2.0,101102450676
6,240.0,0,2009,102.0,0.0,3,2.0,101102268496
6,260.0,3,2004,108.0,0.0,3,2.0,101102494582
7,230.0,0,2016,98.0,1.0,3,2.0,101102708271
6,398.0,3,2009,198.0,0.0,6,2.0,101101728337
2,320.0,3,2007,121.0,0.0,3,2.0,101102398118
12,230.0,1,2014,85.0,1.0,2,1.0,101102234175
8,238.0,3,2014,86.0,1.0,2,1.0,101102252832
18,253.0,3,2014,87.0,1.0,2,1.0,101102094667
9,390.0,1,2014,127.0,1.0,3,1.0,101102331347
18,260.0,0,2014,87.0,1.0,2,1.0,101102278525
10,236.0,3,2014,87.0,1.0,2,2.0,101102579480
10,238.0,0,2014,87.0,1.0,2,2.0,101102697082
9,445.0,1,2014,157.0,1.0,3,2.0,101102169741
18,295.0,3,2016,134.0,1.0,3,2.0,101101915508
9,365.0,3,2014,134.0,1.0,3,2.0,101102420113
9,380.0,3,2014,152.0,1.0,3,2.0,101102117656
12,310.0,0,2015,131.0,1.0,3,1.0,101102600261
9,370.0,1,2014,139.0,1.0,3,2.0,101101362396
11,340.0,2,2014,135.0,1.0,3,2.0,101102560336
18,245.0,0,2015,87.0,1.0,2,1.0,101102705161
18,265.0,0,2014,86.0,1.0,2,1.0,101102233492
18,295.0,0,2014,118.0,1.0,3,2.0,101102512431
18,210.0,3,2014,67.0,1.0,1,1.0,101102230451
18,235.0,0,2014,85.0,1.0,2,1.0,101102382053
17,275.0,0,2015,101.0,1.0,2,2.0,101102708996
17,285.0,3,2015,102.0,1.0,2,2.0,101102661133
15,780.0,1,2014,337.0,1.0,3,2.0,101102501487
18,330.0,0,2014,117.0,1.0,3,2.0,101102110541
17,305.0,3,2016,107.0,1.0,3,2.0,101102054526
18,338.0,1,2014,136.0,1.0,3,2.0,101102633282
9,350.0,1,2014,151.0,1.0,3,1.0,101102285489
18,328.0,0,2016,125.0,1.0,3,2.0,101102580577
11,260.0,2,2014,88.0,1.0,2,2.0,101102032107
4,596.0,3,2006,170.0,0.0,3,1.0,101102501522
6,252.0,2,1992,65.0,0.0,2,1.0,101100560913
16,534.6,3,2005,118.0,1.0,3,1.0,101102307342
25,260.0,2,2015,86.0,1.0,3,1.0,101102259093
6,340.0,0,1993,88.0,0.0,2,1.0,101102283695
15,228.0,2,2010,53.0,1.0,1,0.0,101102734464
7,776.0,3,2015,141.0,1.0,3,2.0,101101158005
6,238.0,2,1988,62.0,0.0,2,1.0,101102559457
6,229.0,0,1994,66.0,0.0,2,1.0,101102319319
6,310.0,3,1995,83.0,0.0,2,1.0,101102417710
16,278.0,2,2002,66.0,1.0,1,1.0,101102081669
4,799.0,0,2006,195.0,0.0,4,2.0,101102719180
6,262.0,2,2007,74.0,0.0,2,1.0,101102684964
6,215.0,2,1992,49.0,0.0,2,1.0,101102512208
